index,Year,Position,Song,Artist,Chart Date
0,2011,1,All I Want For Christmas Is You,Mariah Carey,12/10/2011
1,2011,2,Mistletoe,Justin Bieber,12/10/2011
2,2011,3,Rockin' Around The Christmas Tree,Brenda Lee,12/10/2011
3,2011,4,The Christmas Song (Merry Christmas To You),Nat King Cole,12/10/2011
4,2011,5,Jingle Bell Rock,Bobby Helms,12/10/2011
5,2011,6,A Holly Jolly Christmas,Burl Ives,12/10/2011
6,2011,7,Feliz Navidad,Jose Feliciano,12/10/2011
7,2011,8,It's The Most Wonderful Time Of The Year,Andy Williams,12/10/2011
8,2011,9,Happy Xmas (War Is Over),John Lennon & Yoko Ono,12/10/2011
9,2011,10,Last Christmas,Wham!,12/10/2011
10,2011,11,White Christmas,Bing Crosby,12/10/2011
11,2011,12,Christmas Canon,Trans-Siberian Orchestra,12/10/2011
12,2011,13,Christmas Eve (Sarajevo 12/24),Trans-Siberian Orchestra,12/10/2011
13,2011,14,Do They Know It's Christmas?,Band-Aid,12/10/2011
14,2011,15,Rudolph The Red-Nosed Reindeer,Gene Autry,12/10/2011
15,2011,16,Where Are You Christmas?,Faith Hill,12/10/2011
16,2011,17,Wonderful Christmastime,Paul McCartney,12/10/2011
17,2011,18,It's Beginning To Look A Lot Like Christmas,Bing Crosby,12/10/2011
18,2011,19,Please Come Home For Christmas,Eagles,12/10/2011
19,2011,20,Sleigh Ride,Leroy Anderson,12/10/2011
20,2012,1,All I Want For Christmas Is You,Mariah Carey,12/8/2012
21,2012,2,Rockin' Around The Christmas Tree,Brenda Lee,12/8/2012
22,2012,3,The Christmas Song (Merry Christmas To You),Nat King Cole,12/8/2012
23,2012,4,Jingle Bell Rock,Bobby Helms,12/8/2012
24,2012,5,A Holly Jolly Christmas,Burl Ives,12/8/2012
25,2012,6,Christmas Eve (Sarajevo 12/24),Trans-Siberian Orchestra,12/8/2012
26,2012,7,It's The Most Wonderful Time Of The Year,Andy Williams,12/8/2012
27,2012,8,Feliz Navidad,Jose Feliciano,12/8/2012
28,2012,9,White Christmas,Bing Crosby,12/8/2012
29,2012,10,Last Christmas,Wham!,12/8/2012
30,2012,11,It's Beginning To Look A Lot Like Christmas,Michael Buble,12/8/2012
31,2012,12,Happy Xmas (War Is Over),John Lennon & Yoko Ono,12/8/2012
32,2012,13,Christmas Canon,Trans-Siberian Orchestra,12/8/2012
33,2012,14,Do They Know It's Christmas?,Band-Aid,12/8/2012
34,2012,15,Blue Christmas,Elvis Presley,12/8/2012
35,2012,16,Wonderful Christmastime,Paul McCartney,12/8/2012
36,2012,17,It's Beginning To Look A Lot Like Christmas,Johnny Mathis,12/8/2012
37,2012,18,It's Beginning To Look A Lot Like Christmas,Bing Crosby,12/8/2012
38,2012,19,Rudolph The Red-Nosed Reindeer,Gene Autry,12/8/2012
39,2012,20,Linus & Lucy,Vince Guaraldi Trio,12/8/2012
40,2013,1,All I Want For Christmas Is You,Mariah Carey,12/14/2013
41,2013,2,Rockin' Around The Christmas Tree,Brenda Lee,12/14/2013
42,2013,3,Jingle Bell Rock,Bobby Helms,12/14/2013
43,2013,4,The Christmas Song (Merry Christmas To You),Nat King Cole,12/14/2013
44,2013,5,A Holly Jolly Christmas,Burl Ives,12/14/2013
45,2013,6,Feliz Navidad,Jose Feliciano,12/14/2013
46,2013,7,It's The Most Wonderful Time Of The Year,Andy Williams,12/14/2013
47,2013,8,White Christmas,Bing Crosby,12/14/2013
48,2013,9,Christmas Eve (Sarajevo 12/24),Trans-Siberian Orchestra,12/14/2013
49,2013,10,Happy Xmas (War Is Over),John Lennon & Yoko Ono,12/14/2013
50,2013,11,Last Christmas,Wham!,12/14/2013
51,2013,12,Christmas Canon,Trans-Siberian Orchestra,12/14/2013
52,2013,13,Rudolph The Red-Nosed Reindeer,Gene Autry,12/14/2013
53,2013,14,Do They Know It's Christmas?,Band-Aid,12/14/2013
54,2013,15,Love Is Everything,Ariana Grande,12/14/2013
55,2013,16,Blue Christmas,Elvis Presley,12/14/2013
56,2013,17,It's Beginning To Look A Lot Like Christmas,Johnny Mathis,12/14/2013
57,2013,18,Sleigh Ride,Leroy Anderson,12/14/2013
58,2013,19,Wonderful Christmastime,Paul McCartney,12/14/2013
59,2013,20,It's Beginning To Look A Lot Like Christmas,Michael Buble,12/14/2013
60,2014,1,"Mary, Did You Know?",Pentatonix,12/13/2014
61,2014,2,Santa Tell Me,Ariana Grande,12/13/2014
62,2014,3,All I Want For Christmas Is You,Mariah Carey,12/13/2014
63,2014,4,Rockin' Around The Christmas Tree,Brenda Lee,12/13/2014
64,2014,5,The Christmas Song (Merry Christmas To You),Nat King Cole,12/13/2014
